   ,Analyte,Mass,Meas. Intens. Mean,Meas. Intens. RSD
  ,Pb,206,779838,6
  ,Pb,207,650429,5.869
  ,Pb,208,1652446,5.861
Replicates,,,,
Analyte,Mass,Meas. Intensity,,
Pb,206,860920.614,,
Pb,207,716997.738,,
Pb,208,1821069.672,,
Analyte,Mass,Meas. Intensity,,
Pb,206,832556.969,,
Pb,207,698565.45,,
Pb,208,1766703.326,,
Analyte,Mass,Meas. Intensity,,
Pb,206,831122.297,,
Pb,207,690856.95,,
Pb,208,1750021.348,,
Analyte,Mass,Meas. Intensity,,
Pb,206,805132.569,,
Pb,207,669662.84,,
Pb,208,1706955.522,,
Analyte,Mass,Meas. Intensity,,
Pb,206,798352.947,,
Pb,207,664040.548,,
Pb,208,1691137.768,,
Analyte,Mass,Meas. Intensity,,
Pb,206,783486.499,,
Pb,207,651601.11,,
Pb,208,1663538.097,,
Analyte,Mass,Meas. Intensity,,
Pb,206,768812.542,,
Pb,207,639176.902,,
Pb,208,1632259.012,,
Analyte,Mass,Meas. Intensity,,
Pb,206,760561.733,,
Pb,207,632836.221,,
Pb,208,1606622.884,,
Analyte,Mass,Meas. Intensity,,
Pb,206,740200.701,,
Pb,207,619941.099,,
Pb,208,1569879.471,,
Analyte,Mass,Meas. Intensity,,
Pb,206,736679.734,,
Pb,207,614600.338,,
Pb,208,1556624.536,,
Analyte,Mass,Meas. Intensity,,
Pb,206,724692.473,,
Pb,207,606769.661,,
Pb,208,1541668.121,,
Analyte,Mass,Meas. Intensity,,
Pb,206,715532.228,,
Pb,207,600095.997,,
Pb,208,1522873.768,,
Sample ID:,C6_min63_1a10,,,
Sample Date/Time:,"Monday, November 30, 2015 15:08:50",,,
Intensities,,,,
   ,Analyte,Mass,Meas. Intens. Mean,Meas. Intens. RSD
  ,Pb,206,582257,2.49
  ,Pb,207,488121,2.431
  ,Pb,208,1244672,2.425
Replicates,,,,
Analyte,Mass,Meas. Intensity,,
Pb,206,615167.839,,
Pb,207,513342.423,,
Pb,208,1309490.33,,
Analyte,Mass,Meas. Intensity,,
Pb,206,597622.946,,
Pb,207,500719.455,,
Pb,208,1281364.412,,
